name=Champ Qweb, model=ir.qweb.field, id=42, state=base
name=Champ Qweb HTML, model=ir.qweb.field.html, id=51, state=base
name=Champ Qweb Many to One, model=ir.qweb.field.many2one, id=49, state=base
name=Champ Qweb de Contact, model=ir.qweb.field.contact, id=59, state=base
name=Champ Qweb de durée, model=ir.qweb.field.duration, id=56, state=base
name=Champ Qweb de sélection, model=ir.qweb.field.selection, id=48, state=base
name=Champ Qweb de texte, model=ir.qweb.field.text, id=47, state=base
name=Champ Qweb image, model=ir.qweb.field.image, id=52, state=base
name=Champ Qweb image, model=ir.qweb.field.image_url, id=53, state=base
name=Champ Qweb many2many, model=ir.qweb.field.many2many, id=50, state=base
name=Champ Qweb qweb, model=ir.qweb.field.qweb, id=60, state=base
name=Champ date Qweb, model=ir.qweb.field.date, id=45, state=base
name=Champ date Qweb, model=ir.qweb.field.datetime, id=46, state=base
name=Champ entier Qweb, model=ir.qweb.field.integer, id=43, state=base
name=Champ monétaire Qweb , model=ir.qweb.field.monetary, id=54, state=base
name=Champs, model=ir.model.fields, id=4, state=base
name=Changer la quantité d'articles, model=stock.change.product.qty, id=493, state=base
name=Choisissez le modèle pour imprimer les étiquettes, model=product.label.layout, id=368, state=base
name=Click du traqueur de liens, model=link.tracker.click, id=672, state=base
name=Clôture des Ventes, model=account.sale.closing, id=550, state=base
name=Code du traqueur de liens, model=link.tracker.code, id=671, state=base
name=Code-barres du champ QWeb, model=ir.qweb.field.barcode, id=58, state=base
name=Codice di applicazione coupon di vendita, model=sale.coupon.apply.code, id=679, state=base
name=Colis, model=stock.quant.package, id=476, state=base
name=Combinaison d'activités, model=mail.activity.mixin, id=157, state=base
name=Combinaison de ressources, model=resource.mixin, id=147, state=base
name=Commandes du point de vente, model=pos.order, id=528, state=base
name=Common functions for EDI documents: generate the data, the constraints, etc, model=account.edi.common, id=541, state=base
name=Compte IAP, model=iap.account, id=153, state=base
name=Comptes bancaires, model=res.partner.bank, id=87, state=base
name=Conditions de paiement, model=account.payment.term, id=413, state=base
name=Configurateur d'Evènement, model=event.event.configurator, id=620, state=base
name=Configuration, model=res.config, id=88, state=base
name=Configuration du format papier, model=report.paperformat, id=72, state=base
name=Configuration manuelle des paramètre de la banque, model=account.setup.bank.manual.config, id=451, state=base
name=Confirmation de reliquat, model=stock.backorder.confirmation, id=501, state=base
name=Confirmation du Suivi de Stock, model=stock.track.confirmation, id=507, state=base
name=Confirmer Facture Snailmail, model=snailmail.confirm.invoice, id=522, state=base
name=Confirmer envoi postal, model=snailmail.confirm, id=387, state=base
name=Confirmer stock SMS, model=confirm.stock.sms, id=525, state=base
name=Conflit dans l'inventaire, model=stock.inventory.conflict, id=494, state=base
name=Conseil, model=digest.tip, id=392, state=base
name=Contraintes du modèle, model=ir.model.constraint, id=6, state=base
name=Contrat de Garantie de l'Editeur, model=publisher_warranty.contract, id=198, state=base
name=Convertisseur de champs, model=ir.fields.converter, id=40, state=base
name=Couche de valorisation d'inventaire, model=stock.valuation.layer, id=523, state=base
name=Coupon, model=coupon.coupon, id=673, state=base
